Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
Data Scientist - Machine Learning,"$147,696 /yr (est.)","About Us
Launched in 2011, Twitch is a global community that comes together each day to create multiplayer entertainment: unique, live, unpredictable experiences created by the interactions of millions. We bring the joy of co-op to everything, from casual gaming to world-class esports to anime marathons, music, and art streams. Twitch also hosts TwitchCon, where we bring everyone together to celebrate, learn, and grow their personal interests and passions. We're always live at Twitch. Stay up to date on all things Twitch on LinkedIn, Twitter and on our Blog.
About the Role
The Central Science team focuses on understanding the long-term and causal impact of actions taken by viewers, creators and Twitch. We discover insights and build prediction and causal inference tools to make these knowledge more accessible for teams across Twitch. We support a diverse set of customers including executive leaders, product managers and data staff. We are an interdisciplinary team with experts in data science, statistics, and economics.",4.0,"Twitch
4.0","San Francisco, CA",1001 to 5000 Employees,2011,Subsidiary or Business Segment,Internet,Information Technology,Unknown / Non-Applicable,-1
"Data Scientist - Tiktok Ads, Growth Marketing","$147,032 /yr (est.)","TikTok is the leading destination for short-form mobile video. Our mission is to inspire creativity and bring joy. TikTok has global offices including Los Angeles, New York, London, Paris, Berlin, Dubai, Mumbai, Singapore, Jakarta, Seoul and Tokyo.

The mission of TikTok Ads Platform is to connect global advertisers and users, advertisers of any industry and experience level are able to get suitable marketing solutions, then easily create, manage and optimize ads. The vision is to build an easy-to-understand, easy-to-use and powerful Ads Platform.

The Ad Growth team is responsible for driving advertising growth on TikTok platform. We achieve it by acquiring and retaining advertisers through brand marketing, performance marketing, organic growth initiatives and customer management. We build products that allow us to reach more audiences, improve targeting, optimize bidding, better measure incrementally.

Responsibilities:
We are looking for experienced Data Scientists to influence the product roadmaps for the Ad Growth team.
TikTok is committed to creating an inclusive space where employees are valued for their skills, experiences, and unique perspectives. Our platform connects people from across the globe and so does our workplace. At TikTok, our mission is to inspire creativity and bring joy. To achieve that goal, we are committed to celebrating our diverse voices and to creating an environment that reflects the many communities we reach. We believe individuals shouldn't be disadvantaged because of their background or identity, but instead should be considered based on their strengths and experience. We are passionate about this and hope you are too.
TikTok is committed to providing reasonable accommodations during our recruitment process. If you need assistance or an accommodation, please reach out to us at USRC@tiktok.com.",3.5,"TikTok
3.5","Mountain View, CA",1001 to 5000 Employees,2016,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,-1
Senior Data Analyst (Loyalty & Player Engagement),"$119,944 /yr (est.)","Why PlayStation?
PlayStation isn't just the Best Place to Play — it's also the Best Place to Work. Today, we're recognized as a global leader in entertainment producing The PlayStation family of products and services including PlayStation®5, PlayStation®4, PlayStation®VR, PlayStation®Plus, PlayStation™Now, acclaimed PlayStation software titles from PlayStation Studios, and more.
PlayStation also strives to create an inclusive environment that empowers employees and embraces diversity. We welcome and encourage everyone who has a passion and curiosity for innovation, technology, and play to explore our open positions and join our growing global team.
The PlayStation brand falls under Sony Interactive Entertainment, a wholly-owned subsidiary of Sony Corporation.",4.0,"PlayStation Global
4.0","San Mateo, CA",5001 to 10000 Employees,1994,Subsidiary or Business Segment,Video Games,Media,$10+ billion (USD),-1
Data Scientist,"$117,000 /yr (est.)","Become a Part of the NIKE, Inc. Team
NIKE, Inc. does more than outfit the world’s best athletes. It is a place to explore potential, obliterate boundaries and push out the edges of what can be. The company looks for people who can grow, think, dream and create. Its culture thrives by embracing diversity and rewarding imagination. The brand seeks achievers, leaders and visionaries. At NIKE, Inc. it’s about each person bringing skills and passion to a challenging and constantly evolving game.
Analytics is a competitive differentiator for Nike and is fundamentally changing how the company serves athletes and consumers around the world. The Nike Commercial Analytics team builds analytic-based solutions to manage marketplace and optimize the supply chain. Using big data, advanced analytics and state-of-the-art technology, the team strives to ensure that Nike gets the right product to the right place at the right time for the consumers.",4.1,"Nike
4.1","Beaverton, OR",10000+ Employees,1972,Company - Public,Consumer Products Manufacturing,Manufacturing,$10+ billion (USD),-1
"Data Scientist, Freemium Innovation","$139,731 /yr (est.)","Data, Research & Insights
Data Science
We’re looking for a Data Scientist to join a team leading efforts to further expand our customer offering for Spotify.
Location
New York or Remote Americas
Job type
Permanent
With a focus on innovation projects, you will be part of a small, agile, and constantly evolving team, working to identify and execute upon growth opportunities that meet our ambitious commercial and user experience goals.",4.2,"Spotify
4.2","New York, NY",5001 to 10000 Employees,2006,Company - Public,Internet,Information Technology,Unknown / Non-Applicable,-1
"Staff Data Scientist, Platform","$150,200 /yr (est.)","To get the best candidate experience, please consider applying for a maximum of 3 roles within 12 months to ensure you are not duplicating efforts.
Job Category
Products and Technology
Job Details
We are looking for an experienced Data Scientist to support the Platform product area at Slack. The Platform ecosystem is a critical component of Slack’s strategy to become the place where work happens. It enables users to truly customize Slack and integrate their everyday tools to streamline and speed up work!

Pursuant to the San Francisco Fair Chance Ordinance and the Los Angeles Fair Chance Initiative for Hiring, Salesforce will consider for employment qualified applicants with arrest and conviction records.
As a federal contractor, Salesforce is required to verify that all US-based employees are fully vaccinated against COVID-19. If you receive an offer and are unable to get vaccinated for religious or medical reasons, you may request a reasonable accommodation.",4.5,"Salesforce
4.5",Remote,10000+ Employees,1999,Company - Public,Enterprise Software & Network Solutions,Information Technology,$10+ billion (USD),-1
"Senior Data Scientist (Open to remote work, except the following locations: SD, VT, and WV)","$150,000 /yr (est.)","Become a Part of the NIKE, Inc. Team
NIKE, Inc. does more than outfit the world’s best athletes. It is a place to explore potential, obliterate boundaries and push out the edges of what can be. The company looks for people who can grow, think, dream and create. Its culture thrives by embracing diversity and rewarding imagination. The brand seeks achievers, leaders and visionaries. At NIKE, Inc. it’s about each person bringing skills and passion to a challenging and constantly evolving game.
Analytics is a competitive differentiator for Nike and is fundamentally changing how the company serves athletes and consumers around the world. The Nike Commercial Analytics team builds analytic-based solutions to manage marketplace and optimize the supply chain. Using big data, advanced analytics and innovative technology, we strive to ensure that Nike gets the right product to the right place at the right time for the consumers!
WHO WE ARE LOOKING FOR
WHAT YOU WILL WORK ON
WHO YOU WILL WORK WITH",4.1,"Nike
4.1","Beaverton, OR",10000+ Employees,1972,Company - Public,Consumer Products Manufacturing,Manufacturing,$10+ billion (USD),-1
Computer Engineer (Data Scientist),"$140,014 /yr (est.)","Help
This job is open to
Career transition (CTAP, ICTAP, RPL)
Federal employees who meet the definition of a ""surplus"" or ""displaced"" employee.
Federal employees - Excepted service
Current excepted service federal employees.
Individuals with disabilities
Military spouses",3.5,"US Internal Revenue Service
3.5","Fresno, CA",10000+ Employees,1862,Government,Federal Agencies,Government,Unknown / Non-Applicable,-1
Lead Data Scientist,"$133,311 /yr (est.)","Job Title:
Lead Data Scientist, Mobile Product
Requisition ID:
R013080
Job Description:
Your Mission is:
We are looking for a talented Lead Data Scientist to join our Mobile Analytics team. The team’s goal is to put science into product decisions and help to make a better game for both players and the company. You will be the technical leader for the product data science discipline, with the opportunity to take on a managerial role. First year responsibilities include:",3.3,"Activision
3.3","Santa Monica, CA",1001 to 5000 Employees,1979,Subsidiary or Business Segment,Video Games,Media,$500 million to $1 billion (USD),-1
Data Science Advisor (Express Scripts) - Evernorth,"$127,700 /yr (est.)","SUMMARY
The Service Operations Analytics & Reporting organization supports the data and analytical needs of Evernorth Service Operations. As a center of excellence for best practices in Data Platforms, Web Platforms, Data Science, Advanced Analytics, and Business Intelligence, the team brings together data from contact centers, print and digital communications, eligibility, client benefit setup, coverage review and beyond in novel ways to provide actionable insights to business partners from front-line Prior Authorization Representatives and Patient Care Advocates to Senior Leadership across Evernorth, Express Scripts, and Cigna. By turning data into information, and information into insight, we passionately strive to make the operational services provided by Evernorth to patients, clients, and prescribers the safest, most efficient, most convenient, and most trusted in the world.
This position will partner with operations, resource management, and IT teams in the visioning and design of machine learning and statistical models to drive differentiated service, operational efficiency, and a positive member experience. The Data Science Advisor will work to realize these solutions through data acquisition across a wide portfolio of source systems, data preparation, data visualization, and statistical analysis providing information that is both relevant and actionable. In addition, the position will support existing reports and tools, answer ad hoc inquiries as needed.
This position is with Evernorth, a new business within the Cigna Corporation
REQUIREMENTS

Locate, extract, manipulate, and organize data from operational source systems in support of analytic tool development (SQL, Microsoft SSIS, Python)

Partner with varying levels of operations and resource management leadership to understand challenges, goals, and pain points, designing analytic solutions to address them

Produce models and analytics with Python using widely available and homegrown libraries Enhance/troubleshoot existing reports, tools, and data feeds to support evolving business needs

Develop data visualizations that present information to operations and resource management personnel that is both relevant and actionable (Tableau, Thoughtspot, Power BI)

Produce models and analytics with Python using widely available and homegrown libraries Enhance/troubleshoot existing reports, tools, and data feeds to support evolving business needs

Present results and/or recommendations to key business stakeholders up to and including Sr. Staff

Design, build, deploy, and tune analytic algorithms

Flexibly support ad hoc reporting/analytics needs when called upon
QUALIFICATIONS

3+ years' of experience and proven track record of developing analytical solutions from a data science perspective

Ability to combine creativity with analytical, technical, and business acumen to problem solve and extrapolate data into information to drive process improvements

Experience with SQL, Python & Tableau required

Understanding and experience with leading supervised and unsupervised machine learning methods such as Multiple and Logistic Regression and Natural Language Processing

Proven ability to collaborate with others, establish working relationships, and communicate effectively with a variety of stakeholders

Comfortable working in environments with varying levels of ambiguity, complexity, uncertainty, and change and turning high-level ideas into concrete action plan and provide solution designs
This role is WAH/Flex which allows most work to be performed at home. Employees must be fully vaccinated if they choose to come onsite.

For this position, we anticipate offering an annual salary of $95,800 - $159,600, depending on relevant factors, including experience and geographic location.
This role is also anticipated to be eligible to participate in an annual bonus plan.
Helping our customers achieve healthier, more secure lives is at the heart of what we do. While you take care of our customers, we’ll take care of you through a comprehensive benefits program that helps you be at your best. Starting on day one of your employment, you’ll be offered several health-related benefits including medical, vision, dental, and best in class well-being and behavioral health programs. We also offer 401(k) with company match, company paid life insurance, tuition reimbursement, a minimum of 18 days of paid time off per year and dozens of corporate discounts on essentials you use every day. For more details on our employee benefits programs, please visit the “Life at Cigna” tab on our careersite: www.cigna.com/careers
About Cigna
Cigna Corporation exists to improve lives. We are a global health service company dedicated to improving the health, well-being and peace of mind of those we serve. Together, with colleagues around the world, we aspire to transform health services, making them more affordable and accessible to millions. Through our unmatched expertise, bold action, fresh ideas and an unwavering commitment to patient-centered care, we are a force of health services innovation. When you work with us, or one of our subsidiaries, you’ll enjoy meaningful career experiences that enrich people’s lives. What difference will you make?
Qualified applicants will be considered without regard to race, color, age, disability, sex, childbirth (including pregnancy) or related medical conditions including but not limited to lactation, sexual orientation, gender identity or expression, veteran or military status, religion, national origin, ancestry, marital or familial status, genetic information, status with regard to public assistance, citizenship status or any other characteristic protected by applicable equal employment opportunity laws.
If you require reasonable accommodation in completing the online application process, please email: SeeYourself@cigna.com for support. Do not email SeeYourself@cigna.com for an update on your application or to provide your resume as you will not receive a response.",3.8,"Cigna
3.8","Saint Louis, MO",10000+ Employees,1865,Company - Public,Insurance Carriers,Insurance,$10+ billion (USD),-1
"Senior Director, Data Science (Commercial Analytics) (Open to remote work, except the following locations: SD, VT, and WV)","$199,000 /yr (est.)","Become a Part of the NIKE, Inc. Team
NIKE, Inc. does more than outfit the world’s best athletes. It is a place to explore potential, obliterate boundaries and push out the edges of what can be. The company looks for people who can grow, think, dream and create. Its culture thrives by embracing diversity and rewarding imagination. The brand seeks achievers, leaders and visionaries. At NIKE, Inc. it’s about each person bringing skills and passion to a challenging and constantly evolving game.
NIKE is a technology company. From our flagship website and five-star mobile apps to developing products, managing big data and providing leading edge engineering and systems support, our teams at NIKE Global Technology exist to revolutionize the future at the confluence of tech and sport. We invest and develop advances in technology and employ the most creative people in the world, and then give them the support to constantly innovate, iterate and serve consumers more directly and personally. Our teams are innovative, diverse, multidisciplinary and collaborative, taking technology into the future and bringing the world with it.",4.1,"Nike
4.1","Beaverton, OR",10000+ Employees,1972,Company - Public,Consumer Products Manufacturing,Manufacturing,$10+ billion (USD),-1
Data Science Manager - Communities & Servers,"$96,438 /yr (est.)","People love Discord because it connects them with people they care about - friends, family, and communities with common interests. To empower people to build genuine relationships and create belonging in their lives, Discord must provide an outstanding experience across the many aspects of the service, from the quality of service to the application performance.
We are looking for a technical, hands-on, and mission-driven manager to join and lead our Apps & Developers pillar within the Ecosystems and Servers Data Science team.
You will use your experience leading an outstanding team to partner directly with Product, Engineering, Operations, Policy, and Data Platform. You will coordinate with product managers, engineers, and operations to use analytics and machine learning to guide product development and ensure that Discord is the best service it can be. Check out our blog about how our team informs strategy & innovation at Discord here!",4.4,"Discord
4.4","San Francisco, CA",51 to 200 Employees,2015,Company - Private,Internet,Information Technology,$1 to $5 million (USD),-1
Data Scientist - 100% Remote,"$162,500 /yr (est.)","We have an immediate need for an experienced Data Scientist. This permanent position is 100% remote and offers competitive compensation (that will depend on level of experience) as well as an excellent benefits package.
Target Skills and Experience:
5+ years of Data Analytics experience while working as a Data Scientist.
Strong ability to analyze large amounts of data to discover trends and patterns and build predictive models and machine-learning algorithms to support decision making and quality improvement.
Strong ability to evaluate predictive models, including those developed by vendors or other data scientists, and produce actionable insights, strategies, and recommendations to business challenges.
Healthcare knowledge including hands-on experience working with Healthcare Provider and Patient data for analytics purposes.",-1,BlueSky Technology Solutions,Remote,-1,-1,-1,-1,-1,-1,-1
Lead Data Scientist - Customer Data Science,"$153,275 /yr (est.)","Data scientists at Disney Streaming Services are the insights and modeling partners for the growth, content, marketing, product, and engineering teams at Disney+, Hulu and ESPN+. They use data to empower decision-makers with information, predictions, and insights that ultimately influence the experiences of millions of users worldwide. Scientists on the team build models, perform statistical analysis, and create visualizations to provide scalable, persistent capability that is iteratively improved through direct interaction with cross-functional business partners.
WHAT YOU'LL DO
Modeling: Design, build and improve machine learning models. Work end to end from data collection, feature generation and selection, algorithm development, forecasting, visualization and communicating of model results. Collaborate with engineering to productionize models.
Drive experimentation to test impact of model based optimization.",3.9,"Hulu
3.9","Santa Monica, CA",1001 to 5000 Employees,2007,Company - Private,TV Broadcast & Cable Networks,Media,$1 to $2 billion (USD),-1
"Senior Data Scientist, Product Intelligence","$150,110 /yr (est.)","Work Styles at Zoom
In most cases, you will have the opportunity to choose your preferred working location from the following options when you join Zoom: in-person, hybrid or remote. Visit this page for more information about
Zoom's Workstyles
.
Senior Data Scientist, Product Intelligence
FULL TIME, US-REMOTE

The Data Team at Zoom brings data closer to the decision. We know that to deliver customer happiness we need to build best in class products. We support this by empowering Product with behavioral insights to help them build better products. While providing these insights, we also need to ensure that we’re meeting the consent, privacy, and regulatory needs of hundreds of millions of users worldwide.
This role will be part of the Product Intelligence team and will be working closely with the Whiteboard product team. Whiteboard is a powerful virtual hub for real-time and asynchronous collaboration, creating more engaging and efficient meeting experiences. Any team, from enterprise to education, can use the Zoom Whiteboard experience to create, annotate, and share ideas from any device whether you’re in a Zoom meeting or not. This role will work closely with Product, Engineering and the Data Engineering team to help ensure the success of the product. The ideal candidate will have experience partnering with Product to define success metrics and define data requirements to ensure we are set up for success when the product or feature launches. The ideal candidate will have experience measuring product impact using causal inference and A/B testing. The individual will play a key role in providing insights around product usage beyond just the “What?” but to answer the “Why?” behind user behavior. Our team values diversity, collaboration, creativity and most importantly - having fun! Come join us!
$97,920.00 USD
$181,170.00 USD
#LI-Remote",4.4,"Zoom Video Communications, Inc.
4.4","San Francisco, CA",1001 to 5000 Employees,2011,Company - Public,IT Services,Information Technology,$2 to $5 billion (USD),-1
"Data Scientist, Operations Data Science","$95,000 /yr (est.)","Note: Google’s hybrid workplace includes remote and in-office roles. By applying to this position you will have an opportunity to share your preferred working location from the following:

In-office locations: Mountain View, CA, USA.
Remote location(s): United States.
Minimum qualifications:
Master's degree in Operations Research, Industrial Engineering, Statistics, related field, or equivalent practical experience.
2 years of relevant work experience (e.g., as a data scientist) or equivalent. Analytical engagements outside class work while at school can be included.
Experience with statistical software (e.g., R, Python) and database languages (e.g., SQL)



Google is proud to be an equal opportunity workplace and is an affirmative action employer. We are committed to equal employment opportunity regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender identity or Veteran status. We also consider qualified applicants regardless of criminal histories, consistent with legal requirements. See also Google's EEO Policy and EEO is the Law. If you have a disability or special need that requires accommodation, please let us know by completing our Accommodations for Applicants form.",4.5,"Google
4.5","Mountain View, CA",10000+ Employees,1998,Company - Public,Internet,Information Technology,$10+ billion (USD),-1
Data Scientist 2 – Pricing - Remote,-1,"Job Description
Nordstrom is a specialty retailer offering the very best in fashion and customer service since 1901. We live by five simple values that guide how we work together day-to-day and how we deliver data science & analytics products. We are customer-obsessed, owners at heart, curious and ever-changing, we extend ourselves to our peers and our customers, and we’re here to win!
Our Pricing Data Science & Analytics team is re-imagining Nordstrom’s core pricing capabilities & developing innovative data products to drive value for our customers. As an integral part of the team, the Data Scientist 2 – Pricing will lead our research in the space and implement advanced machine learning & optimization techniques across markdowns, promotions and more. The ideal candidate is a relentless problem solver with strong technical skills and a track record creating innovating, robust data solutions end-to-end. They should be energized by the chance to solve open-ended, high impact research questions and thrive when collaborating with both technical and non-technical partners.

Colorado: $106,500-$159,700, Nevada: $106,500-$159,700",3.7,"Nordstrom Inc
3.7",Remote,10000+ Employees,1901,Company - Public,"Department, Clothing, & Shoe Stores",Retail,$10+ billion (USD),-1
Principal Data Scientist - Network Planning for Airlines,-1,"Summary of the role:
Where to fly, when to fly, what to fly...
The art of Network Planning and Scheduling is at the heart of Airlines. It defines what an Airline intends to fly for a specific future period including routes, timing, aircraft assignments, and rotations. At the same time, it must satisfy operations constraints (crew, aircraft maintenance, airport curfew, passenger types (business, leisure, booking habits) and factor uncertain future environment (competition, pandemic evolution).
At Amadeus, we want to re-invent the future of Network Planning with ""Sky Suite""; the next generation optimization, simulation, and data analytics solutions to help airlines improve their efficiency and profitability.

Are you the next we are looking for?",4.0,"Amadeus
4.0",Remote,10000+ Employees,1987,Company - Public,IT Services,Information Technology,$2 to $5 billion (USD),-1
Data Scientist,"$101,589 /yr (est.)","NSA Overview: The professionals at the National Security Agency (NSA) have one common goal: to protect our nation. The mission requires a strong offense and a steadfast defense. The offense collects, processes, and disseminates intelligence information derived from foreign signals for intelligence and counterintelligence purposes. The defense prevents adversaries from gaining access to sensitive classified national security information. At NSA, Data Science is a fundamental discipline and is present in nearly every aspect of the mission. NSA is the nation's leader in providing foreign signals intelligence while also protecting U.S. government information systems, forging the frontier of communications, and data analysis. We serve the American people by applying technical skills to meaningful work, keeping our friends and families safe for generations to come. You will make a lasting impact serving your country as a Data Scientist at the National Security Agency, using your curiosity and technical expertise to analyze large data sets to inform decision-making against foreign threats. Description of Position: Data science at NSA is a multi-disciplinary field that uses elements of mathematics, statistics, computer science, and application-specific knowledge to gather, make, and communicate principled conclusions from data. Data science is present in every aspect of the mission. NSA Data Scientists tackle challenging real-world problems leveraging big data, high-performance computing, machine learning, and a breadth of other methodologies. We are looking for critical thinkers, problem solvers, and motivated individuals who are enthusiastic about data and believe that answers to hard questions lie in the yet-to-be-told story of diverse, complicated data sets. You will employ your mathematical science, computer science, and quantitative analysis skills to develop solutions to complex data problems and take full advantage of NSA's capabilities to tackle the highest priority foreign intelligence and cybersecurity challenges. Direct hire data scientists are hired into positions directly supporting a technical mission office. You will have the opportunity to collaborate with NSA's experts in the field of data science and other computational disciplines while tackling NSA's highest priority mission challenges. You will have opportunities to attend technical conferences with experts internally and from industry and academia as well as discuss and share NSA's challenges and successes at technical roundtables. As a Data Scientist at NSA, your responsibilities may include: - Exploratory data analysis and exploratory model-fitting to reveal data features of interest - Machine-learned predictive modeling - Construct usable data sets from multiple sources to meet customer needs - Identifying and analyzing anomalous data (including metadata) - Developing conceptual design and models to address mission requirements - Developing qualitative and quantitative methods for characterizing datasets in various states. - Performing analytic modeling, scripting, and/or programming - Working collaboratively and iteratively throughout the data-science lifecycle - Designing and developing analytics and techniques for analysis - Analyzing data using mathematical and statistical methods - Evaluating, documenting, and communicating research processes, analyses, and results to customers, peers, and leadership - Creating interpretable visualizations",3.5,"National Security Agency
3.5","Fort Meade, MD",Unknown,-1,Government,Federal Agencies,Government,Unknown / Non-Applicable,-1
Sr. Data Scientist,"$134,274 /yr (est.)","Why PlayStation?
PlayStation isn't just the Best Place to Play — it's also the Best Place to Work. Today, we're recognized as a global leader in entertainment producing The PlayStation family of products and services including PlayStation®5, PlayStation®4, PlayStation®VR, PlayStation®Plus, PlayStation™Now, acclaimed PlayStation software titles from PlayStation Studios, and more.
PlayStation also strives to create an inclusive environment that empowers employees and embraces diversity. We welcome and encourage everyone who has a passion and curiosity for innovation, technology, and play to explore our open positions and join our growing global team.
The PlayStation brand falls under Sony Interactive Entertainment, a wholly-owned subsidiary of Sony Corporation.",4.0,"PlayStation Global
4.0","San Mateo, CA",5001 to 10000 Employees,1994,Subsidiary or Business Segment,Video Games,Media,$10+ billion (USD),-1
Senior Data Analyst,"$97,104 /yr (est.)","Become a Part of the NIKE, Inc. Team
NIKE, Inc. does more than outfit the world’s best athletes. It is a place to explore potential, obliterate boundaries and push out the edges of what can be. The company looks for people who can grow, think, dream and create. Its culture thrives by embracing diversity and rewarding imagination. The brand seeks achievers, leaders and visionaries. At NIKE, Inc. it’s about each person bringing skills and passion to a challenging and constantly evolving game.
NIKE is a technology company. From our flagship website and five-star mobile apps to developing products, managing big data and providing leading edge engineering and systems support, our teams at NIKE Global Technology exist to revolutionize the future at the confluence of tech and sport. We invest and develop advances in technology and employ the most creative people in the world, and then give them the support to constantly innovate, iterate and serve consumers more directly and personally. Our teams are innovative, diverse, multidisciplinary and collaborative, taking technology into the future and bringing the world with it.",4.1,"Nike
4.1","Beaverton, OR",10000+ Employees,1972,Company - Public,Consumer Products Manufacturing,Manufacturing,$10+ billion (USD),-1
"Data Scientist, Marketing Science Research: Creative Shop","$114,330 /yr (est.)","The Marketing Science Research, Creative Shop team is a quantitative research group focused on measuring the value and effectiveness of creative in advertising. The team designs and conducts research studies and leverages and develops new data sources to understand how people respond to creative content on digital platforms. The results are used to guide internal teams and are published as guidance and thought-leadership for the global advertising industry. This team helps develop world-class marketing strategies for both the world's largest advertisers and the millions of small businesses that use our platforms. In this role, you will pair your analytical skills with Meta’s unique data set to understand the role of creative in advertising. We seek an expert in data science, research methods, and developing working systems to support research. The ideal candidate will have a strong knowledge of statistical methods and machine learning, is focused on results, is self-motivated, and has a history of solving problems with data-driven solutions. You will work closely with our global Creative Strategists to inform scalable strategies for creative development that achieve our clients’ business objectives. You will partner with teams in all major global markets, working to develop region-specific understanding when required. You’re a doer, who loves to ship ideas that will impact businesses of all shapes and sizes on Facebook, Instagram, Messenger, and WhatsApp.
















Facebook is proud to be an Equal Opportunity and Affirmative Action employer. We do not discriminate based upon race, religion, color, national origin, sex (including pregnancy, childbirth, or related medical conditions), sexual orientation, gender, gender identity, gender expression, transgender status, sexual stereotypes, age, status as a protected veteran, status as an individual with a disability, or other applicable legally protected characteristics. We also consider qualified applicants with criminal histories, consistent with applicable federal, state and local law.Facebook is committed to providing reasonable accommodations for candidates with disabilities in our recruiting process. If you need any assistance or accommodations due to a disability, please let us know at accommodations-ext@fb.com.",4.3,"Meta
4.3","San Francisco, CA",10000+ Employees,2004,Company - Public,Internet,Information Technology,$10+ billion (USD),-1
Data Scientist,"$121,859 /yr (est.)","Your principal responsibility will be for the design and implementation of primary sequence analysis algorithms encompassing image processing, times series analysis and base-calling. You will work with bench scientists and engineers from the molecular biology, chemistry, software, hardware and sequencing teams to design experiments and analyze resulting data. Duties will include integrating your solutions into product-grade code for the shipping product.
Essential Qualifications
A PhD or equivalent experience in a relevant field such as statistics, computer science, or applied mathematics.
Ability to develop quantitative methods from first principles, and a track record applying such methods to real-world problems.
Proficiency with a standard data analysis platform such as Python, R, Julia or MATLAB.",3.0,"Quantapore
3.0","San Francisco, CA",1 to 50 Employees,2009,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$1 to $5 million (USD),-1
"Data Scientist, Marketing Analytics","$120,445 /yr (est.)","Are you interested in working for a Fortune 100 retailer? Do you want to be able to apply your analytical knowledge and experience to help solve constantly changing business and customer facing opportunities?

As a Data Scientist on the Business Analytics Team, you will support Marketing Measurement, identify buying behaviors and lifestyle characteristics of customers, measure the statistically significant purchasing behavior change at the product and customer segment level, develop sales forecasting methodologies, conduct A/B tests, and work with large cloud based datasets.

Additional responsibilities include:
providing research-based consultation and recommendations regarding the personalization of customer interfaces with Publix
developing and implementing scalable Data Science Analytical Solutions that rely on machine learning and artificial intelligence to automate and optimize key business processes and help improve efficiency and financial results",3.8,"Publix
3.8","Lakeland, FL",10000+ Employees,1930,Company - Private,Grocery Stores & Supermarkets,Retail,$10+ billion (USD),-1
"Lead Data Scientist, Creator Marketing","$150,981 /yr (est.)","Data, Research & Insights
Data
We are looking for a passionate marketing data science leader to join the Creator Marketing team - Spotify’s division dedicated to helping artists thrive by providing the most valuable tools to create music, build an audience, monetize their fans and ultimately live off their work.
Location
New York or Remote Americas
Job type
Permanent
Spotify for Artists is used by more than a million artists monthly to get insights, reach new listeners and deepen the connection with their audience. We are looking to invest in Marketing Data Science as part of the Creator Marketing organization and are seeking a strong leader to build out this capability.",4.3,"Spotify
4.2","New York, NY",5001 to 10000 Employees,2006,Company - Public,Internet,Information Technology,Unknown / Non-Applicable,-1
"Data Scientist, Product Intelligence","$144,420 /yr (est.)","Work Styles at Zoom
In most cases, you will have the opportunity to choose your preferred working location from the following options when you join Zoom: in-person, hybrid or remote. Visit this page for more information about
Zoom's Workstyles
.
Data Scientist, Product Intelligence
FULL TIME/ REMOTE - US
The Data Team at Zoom brings data closer to the decision. We know that to deliver customer happiness we need to build best in class products. We support this by empowering Product with behavioral insights to help them build better products. While providing these insights, we also need to ensure that we’re meeting the consent, privacy, and regulatory needs of hundreds of millions of users worldwide.
This role will be part of the Product Intelligence team and will be working closely with the Contact Center product team. Unlike most contact center technologies that are only optimized for voice, Zoom Contact Center is the first omnichannel contact center solution that is optimized for video and intentionally supports a robust suite of channels, such as voice and video (with SMS and web chat). This role will work closely with Product, Engineering and the Data Engineering team to help ensure the success of the product. The ideal candidate will have experience partnering with Product to define success metrics and define data requirements to ensure we are set up for success when the product or feature launches. The individual will play a key role in providing insights around product usage beyond just the “What?” but to answer the “Why?” behind user behavior. Our team values diversity, collaboration, creativity and most importantly - having fun! Come join us!
$97,920.00 USD
$181,170.00 USD
#LI-Remote",4.4,"Zoom Video Communications, Inc.
4.4","San Francisco, CA",1001 to 5000 Employees,2011,Company - Public,IT Services,Information Technology,$2 to $5 billion (USD),-1
"Data Scientist, Infrastructure","$162,533 /yr (est.)","About Pinterest:
Millions of people across the world come to Pinterest to find new ideas every day. It's where they get inspiration, dream about new possibilities and plan for what matters most. Our mission is to help those people find their inspiration and create a life they love. In your role, you'll be challenged to take on work that upholds this mission and pushes Pinterest forward. You'll grow as a person and leader in your field, all the while helping Pinners make their lives better in the positive corner of the internet.
We're looking for an analytical thinker to help us understand how our infrastructure costs scale with our business. You will work closely with the Infrastructure Governance group and a cross functional team of engineering, product and finance stakeholders to increase visibility into our infrastructure related trends and to suggest actions we can take to make it more predictable over time. The ideal candidate will possess both strong technical and analytical skills; be able to communicate technical details, at a level appropriate for the audience.",4.1,"Pinterest
4.1","San Francisco, CA",1001 to 5000 Employees,2010,Company - Public,Internet,Information Technology,$100 to $500 million (USD),-1
Data Scientist (University Graduate),"$151,000 /yr (est.)","Your Job
As a Data Scientist at Indeed your role is to follow the data. Analyze, visualize, and model job search related data. You will build and implement machine learning models to make timely decisions. You will have access to unparalleled resources within Indeed to grow and develop both personally and professionally.

We are looking for a mixture between a statistician, scientist, machine learning expert and engineer: someone who has passion for building and improving Internet-scale products informed by data. The ideal candidate understands human behavior and knows what to look for in the data.

Responsibilities
Have full stack experience in data collection, aggregation, analysis, visualization, productionization, and monitoring of data science products",4.4,"Indeed
4.4",Remote,10000+ Employees,2004,Company - Private,Internet,Information Technology,$2 to $5 billion (USD),-1
