index,Job Title,Salary Estimate,Job Description,Rating,Company Name,Size,Founded,Type of ownership,Industry,Sector,Revenue,Job_country,Job_state,Company_Year,python_yn,visualization_yn,Excel_yn,analysis_yn,communication_yn,aws_yn,desc_len,Job_Title,seniority
144,Senior Data Scientist - Ranking Team,180.0,"Your Job
We’re looking for a Data Scientist to join our growing team here at Indeed. The Ranking team focuses on leveraging our understanding of jobs + Job seekers, and our scale. The team’s mission is to match every jobseeker find the most relevant jobs in their job search. We work hard to ensure each personalized search brings the most relevant and attainable search results for every jobseeker.

Responsibilities:
Conceptualize, analyze, build, test, and implement models that utilize various and diverse data sets to solve problems related to the employment and recruiting industries
Build and implement machine learning models, testing frameworks, and visualizations to make timely decisions and influence the product roadmap
We are a rapidly growing and highly-capable Engineering organization building the most popular job site on the planet. With engineering hubs in Seattle, San Francisco, Austin, Tokyo, Singapore, Hyderabad, Dublin, Aberdeen and Vancouver, we are improving people's lives all around the world, one job search at a time.",4.4,Indeed,10000+ Employees,2004,Company - Private,Internet,Information Technology,$2 to $5 billion (USD),San Francisco, CA,18,0,1,0,0,0,0,1049,data scientist,senior
145,"Data Scientist, Basketball Integrity",91.252,"At the NBA, we’re passionate about growing and celebrating the game of basketball. Through the intensity of the game and the amazing athletic skill of our players, we deliver excitement to hundreds of millions of fans around the world.

As a global sports and media business, the NBA is so much more. While Basketball Operations runs the league’s on-court activities, other departments manage relationships with television and digital media partners, develop marketing partnerships with some of the world’s most recognizable companies, oversee the licensing of NBA merchandise, and handle a wide range of responsibilities that drive the NBA’s success.

The NBA is committed to providing a safe and healthy workplace. To safeguard our employees and their families, our visitors, and the broader community from COVID-19, and in consideration of recommendations from health authorities and the NBA’s own advisors, any individual working onsite in our New York and New Jersey offices must be fully vaccinated against COVID-19. The NBA will discuss accommodations for individuals who cannot be vaccinated due to a medical reason or sincerely held religious belief, practice, or observance.",3.9,the NBA,1001 to 5000 Employees,1946,Company - Private,Sports & Recreation,"Arts, Entertainment & Recreation",Unknown / Non-Applicable,New York, NY,76,0,0,0,0,0,0,1184,data scientist,na
146,Data Scientist (University Graduate),151.0,"Your Job
As a Data Scientist at Indeed your role is to follow the data. Analyze, visualize, and model job search related data. You will build and implement machine learning models to make timely decisions. You will have access to unparalleled resources within Indeed to grow and develop both personally and professionally.

We are looking for a mixture between a statistician, scientist, machine learning expert and engineer: someone who has passion for building and improving Internet-scale products informed by data. The ideal candidate understands human behavior and knows what to look for in the data.

Responsibilities
Have full stack experience in data collection, aggregation, analysis, visualization, productionization, and monitoring of data science products",4.4,Indeed,10000+ Employees,2004,Company - Private,Internet,Information Technology,$2 to $5 billion (USD),Remote,Remote,18,0,1,0,1,0,0,767,data scientist,na
147,"Senior Data Scientist - Analytics, FinCrimes",130.758,"Join a leading fintech company that's democratizing finance for all.
Robinhood was founded on a simple idea: that our financial markets should be accessible to all. With customers at the heart of our decisions, Robinhood is lowering barriers and providing greater access to financial information. Together, we are building products and services that help create a financial system everyone can participate in.
Just as we focus on our customers, we also strive to create an inclusive environment where our employees can thrive and do impactful work. We are proud of the competitive products and company culture we've built and have been recognized as:
Forbes Fintech 50 2021
Glassdoor Best Places to Work 2021",4.0,Robinhood,1001 to 5000 Employees,2013,Company - Public,Brokerage Services,Finance,Unknown / Non-Applicable,Menlo Park, CA,9,0,0,0,0,0,0,708,data scientist,senior
148,Senior Data Scientist (remote),156.8,"At Liberty Mutual, our purpose is to help people embrace today and confidently pursue tomorrow. That's why we provide an environment focused on openness, inclusion, trust and respect. Here, you'll discover our expansive range of roles, and a workplace where we aim to help turn your passion into a rewarding profession.
Liberty Mutual has proudly been recognized as a “Great Place to Work” by Great Place to Work® US for the past several years. We were also selected as one of the “100 Best Places to Work in IT” on IDG's Insider Pro and Computerworld's 2020 list. For many years running, we have been named by Forbes as one of America's Best Employers for Women and one of America's Best Employers for New Graduates—as well as one of America's Best Employers for Diversity. To learn more about our commitment to diversity and inclusion please visit: https://jobs.libertymutualgroup.com/diversity-inclusion
We value your hard work, integrity and commitment to make things better, and we put people first by offering you benefits that support your life and well-being. To learn more about our benefit offerings please visit: https://LMI.co/Benefits
Liberty Mutual is an equal opportunity employer. We will not tolerate discrimination on the basis of race, color, national origin, sex, sexual orientation, gender identity, religion, age, disability, veteran's status, pregnancy, genetic information or on any basis prohibited by federal, state or local law.

18",3.9,Liberty Mutual Insurance,10000+ Employees,1912,Company - Private,Insurance Carriers,Insurance,$10+ billion (USD),Remote,Remote,110,0,0,0,0,0,0,1459,data scientist,senior
149,Data Scientist,121.859,"Your principal responsibility will be for the design and implementation of primary sequence analysis algorithms encompassing image processing, times series analysis and base-calling. You will work with bench scientists and engineers from the molecular biology, chemistry, software, hardware and sequencing teams to design experiments and analyze resulting data. Duties will include integrating your solutions into product-grade code for the shipping product.
Essential Qualifications
A PhD or equivalent experience in a relevant field such as statistics, computer science, or applied mathematics.
Ability to develop quantitative methods from first principles, and a track record applying such methods to real-world problems.
Proficiency with a standard data analysis platform such as Python, R, Julia or MATLAB.",3.0,Quantapore,1 to 50 Employees,2009,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$1 to $5 million (USD),San Francisco, CA,13,1,0,0,1,0,0,811,data scientist,na
150,AWS Data Scientist,167.5,"PhD or equivalent Master's Degree plus 4+ years of experience in Computer Science, Data Science, Machine Learning, Statistics, Mathematics, Operations Research, Economics or related field
2+ years of experience using Python, R or other traditional programming language is required
2+ years of experience in SQL
Job summary
Amazon Web Services’ Marketing Science team is looking for an applied scientist with strong technical skills in machine learning and forecasting to drive methodology improvements and tool inventions for marketing planning, goal tracking, targeting and segmentation, while developing our long term roadmap.

The successful candidate will be a hands-on self-starter, comfortable with ambiguity, humble to seek feedback and learn from peers (scientists, economists, marketing practitioners), bold to think big, has solid attention to detail and believes in challenging themselves to raise the bar continuously. The scientist will develop production models using geographical, macro-economic and customer-level panel data on forecasting, and account or segment based marketing. They will work closely with media and portfolio teams to understand business needs and with an engineering team to productionize solutions.

This role requires an individual with strong quantitative modeling skills and the ability to apply statistical/machine learning, econometric, and coding skills.

The candidate should have strong communication skills to work closely with stakeholders to translate business needs into methodology and data-driven findings into actionable insights. The successful candidate will be a self-starter comfortable with ambiguity, with strong attention to detail, and ability to work in a fast-paced and ever-changing environment.

Key job responsibilities
About the team
Inclusive Team Culture

Here at AWS, we embrace our differences. We are committed to furthering our culture of inclusion. We have ten employee-led affinity groups, reaching 40,000 employees in over 190 chapters globally. We have innovative benefit offerings, and host annual and ongoing learning experiences, including our Conversations on Race and Ethnicity (CORE) and AmazeCon (gender diversity) conferences. Amazon’s culture of inclusion is reinforced within our 16 Leadership Principles, which remind team members to seek diverse perspectives, learn and be curious, and earn trust.

Work/Life Balance
Our team puts a high value on work-life balance. It isn’t about how many hours you spend at home or at work; it’s about the flow you establish that brings energy to both parts of your life. We believe striking the right balance between your personal and professional life is critical to life-long happiness and fulfillment. We offer flexibility in working hours and encourage you to find your own balance between your work and personal lives.

Mentorship & Career Growth
Our team is dedicated to supporting new members. We have a broad mix of experience levels and tenures, and we’re building an environment that celebrates knowledge sharing and mentorship. We care about your career growth and strive to assign projects based on what will help each team member develop into a better-rounded professional and enable them to take on more complex tasks in the future.

Pursuant to the San Francisco Fair Chance Ordinance, we will consider for employment qualified applicants with arrest and conviction records.

Pursuant to the Los Angeles Fair Chance Ordinance, we will consider for employment qualified applicants with arrest and conviction records.

For employees based in Colorado, this position starts at $142-193k/yr. A sign-on bonus and restricted stock units may be provided as part of the compensation package, in addition to a range of medical, financial, and/or other benefits, dependent on the position offered. This information is provided per the Colorado Equal Pay Act. Base pay information is based on market location. Applicants should apply via Amazon’s internal or external careers site.

Amazon is committed to a diverse and inclusive workplace. Amazon is an equal opportunity employer and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation, protected veteran status, disability, age, or other legally protected status. For individuals with disabilities who would like to request an accommodation, please visit https://www.amazon.jobs/en/disability/us.",3.8,"Amazon Web Services, Inc.",10000+ Employees,1994,Company - Public,Internet,Information Technology,$10+ billion (USD),Remote,Remote,28,1,0,0,0,1,1,4430,data scientist,na
151,"Data Scientist, Freemium Innovation",139.731,"Data, Research & Insights
Data Science
We’re looking for a Data Scientist to join a team leading efforts to further expand our customer offering for Spotify.
Location
New York or Remote Americas
Job type
Permanent
With a focus on innovation projects, you will be part of a small, agile, and constantly evolving team, working to identify and execute upon growth opportunities that meet our ambitious commercial and user experience goals.",4.2,Spotify,5001 to 10000 Employees,2006,Company - Public,Internet,Information Technology,Unknown / Non-Applicable,New York, NY,16,0,0,0,0,0,0,436,data scientist,na
153,"Senior Director, Data Science (Commercial Analytics) (Open to remote work, except the following locations: SD, VT, and WV)",199.0,"Become a Part of the NIKE, Inc. Team
NIKE, Inc. does more than outfit the world’s best athletes. It is a place to explore potential, obliterate boundaries and push out the edges of what can be. The company looks for people who can grow, think, dream and create. Its culture thrives by embracing diversity and rewarding imagination. The brand seeks achievers, leaders and visionaries. At NIKE, Inc. it’s about each person bringing skills and passion to a challenging and constantly evolving game.
NIKE is a technology company. From our flagship website and five-star mobile apps to developing products, managing big data and providing leading edge engineering and systems support, our teams at NIKE Global Technology exist to revolutionize the future at the confluence of tech and sport. We invest and develop advances in technology and employ the most creative people in the world, and then give them the support to constantly innovate, iterate and serve consumers more directly and personally. Our teams are innovative, diverse, multidisciplinary and collaborative, taking technology into the future and bringing the world with it.",4.1,Nike,10000+ Employees,1972,Company - Public,Consumer Products Manufacturing,Manufacturing,$10+ billion (USD),Beaverton, OR,50,0,0,0,0,0,0,1132,director,senior
154,Lead Data Scientist - Customer Data Science,153.275,"Data scientists at Disney Streaming Services are the insights and modeling partners for the growth, content, marketing, product, and engineering teams at Disney+, Hulu and ESPN+. They use data to empower decision-makers with information, predictions, and insights that ultimately influence the experiences of millions of users worldwide. Scientists on the team build models, perform statistical analysis, and create visualizations to provide scalable, persistent capability that is iteratively improved through direct interaction with cross-functional business partners.
WHAT YOU'LL DO
Modeling: Design, build and improve machine learning models. Work end to end from data collection, feature generation and selection, algorithm development, forecasting, visualization and communicating of model results. Collaborate with engineering to productionize models.
Drive experimentation to test impact of model based optimization.",3.9,Hulu,1001 to 5000 Employees,2007,Company - Private,TV Broadcast & Cable Networks,Media,$1 to $2 billion (USD),Santa Monica, CA,15,0,1,0,1,0,0,924,data scientist,senior
155,Senior Data Analyst (Loyalty & Player Engagement),119.944,"Why PlayStation?
PlayStation isn't just the Best Place to Play — it's also the Best Place to Work. Today, we're recognized as a global leader in entertainment producing The PlayStation family of products and services including PlayStation®5, PlayStation®4, PlayStation®VR, PlayStation®Plus, PlayStation™Now, acclaimed PlayStation software titles from PlayStation Studios, and more.
PlayStation also strives to create an inclusive environment that empowers employees and embraces diversity. We welcome and encourage everyone who has a passion and curiosity for innovation, technology, and play to explore our open positions and join our growing global team.
The PlayStation brand falls under Sony Interactive Entertainment, a wholly-owned subsidiary of Sony Corporation.",4.0,PlayStation Global,5001 to 10000 Employees,1994,Subsidiary or Business Segment,Video Games,Media,$10+ billion (USD),San Mateo, CA,28,0,0,0,0,0,0,769,analyst,senior
156,"Data Scientist - Tiktok Ads, Growth Marketing",147.032,"TikTok is the leading destination for short-form mobile video. Our mission is to inspire creativity and bring joy. TikTok has global offices including Los Angeles, New York, London, Paris, Berlin, Dubai, Mumbai, Singapore, Jakarta, Seoul and Tokyo.

The mission of TikTok Ads Platform is to connect global advertisers and users, advertisers of any industry and experience level are able to get suitable marketing solutions, then easily create, manage and optimize ads. The vision is to build an easy-to-understand, easy-to-use and powerful Ads Platform.

The Ad Growth team is responsible for driving advertising growth on TikTok platform. We achieve it by acquiring and retaining advertisers through brand marketing, performance marketing, organic growth initiatives and customer management. We build products that allow us to reach more audiences, improve targeting, optimize bidding, better measure incrementally.

Responsibilities:
We are looking for experienced Data Scientists to influence the product roadmaps for the Ad Growth team.
TikTok is committed to creating an inclusive space where employees are valued for their skills, experiences, and unique perspectives. Our platform connects people from across the globe and so does our workplace. At TikTok, our mission is to inspire creativity and bring joy. To achieve that goal, we are committed to celebrating our diverse voices and to creating an environment that reflects the many communities we reach. We believe individuals shouldn't be disadvantaged because of their background or identity, but instead should be considered based on their strengths and experience. We are passionate about this and hope you are too.
TikTok is committed to providing reasonable accommodations during our recruitment process. If you need assistance or an accommodation, please reach out to us at USRC@tiktok.com.",3.5,TikTok,1001 to 5000 Employees,2016,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,Mountain View, CA,6,0,0,0,0,0,0,1858,data scientist,na
157,Data Science Manager - Communities & Servers,96.438,"People love Discord because it connects them with people they care about - friends, family, and communities with common interests. To empower people to build genuine relationships and create belonging in their lives, Discord must provide an outstanding experience across the many aspects of the service, from the quality of service to the application performance.
We are looking for a technical, hands-on, and mission-driven manager to join and lead our Apps & Developers pillar within the Ecosystems and Servers Data Science team.
You will use your experience leading an outstanding team to partner directly with Product, Engineering, Operations, Policy, and Data Platform. You will coordinate with product managers, engineers, and operations to use analytics and machine learning to guide product development and ensure that Discord is the best service it can be. Check out our blog about how our team informs strategy & innovation at Discord here!",4.4,Discord,51 to 200 Employees,2015,Company - Private,Internet,Information Technology,$1 to $5 million (USD),San Francisco, CA,7,0,0,0,0,0,0,950,manager,na
158,"Senior Data Scientist, Product Intelligence",150.11,"Work Styles at Zoom
In most cases, you will have the opportunity to choose your preferred working location from the following options when you join Zoom: in-person, hybrid or remote. Visit this page for more information about
Zoom's Workstyles
.
Senior Data Scientist, Product Intelligence
FULL TIME, US-REMOTE

The Data Team at Zoom brings data closer to the decision. We know that to deliver customer happiness we need to build best in class products. We support this by empowering Product with behavioral insights to help them build better products. While providing these insights, we also need to ensure that we’re meeting the consent, privacy, and regulatory needs of hundreds of millions of users worldwide.
This role will be part of the Product Intelligence team and will be working closely with the Whiteboard product team. Whiteboard is a powerful virtual hub for real-time and asynchronous collaboration, creating more engaging and efficient meeting experiences. Any team, from enterprise to education, can use the Zoom Whiteboard experience to create, annotate, and share ideas from any device whether you’re in a Zoom meeting or not. This role will work closely with Product, Engineering and the Data Engineering team to help ensure the success of the product. The ideal candidate will have experience partnering with Product to define success metrics and define data requirements to ensure we are set up for success when the product or feature launches. The ideal candidate will have experience measuring product impact using causal inference and A/B testing. The individual will play a key role in providing insights around product usage beyond just the “What?” but to answer the “Why?” behind user behavior. Our team values diversity, collaboration, creativity and most importantly - having fun! Come join us!
$97,920.00 USD
$181,170.00 USD
#LI-Remote",4.4,"Zoom Video Communications, Inc.",1001 to 5000 Employees,2011,Company - Public,IT Services,Information Technology,$2 to $5 billion (USD),San Francisco, CA,11,0,0,0,0,0,0,1866,data scientist,senior
159,"Staff Data Scientist, Platform",150.2,"To get the best candidate experience, please consider applying for a maximum of 3 roles within 12 months to ensure you are not duplicating efforts.
Job Category
Products and Technology
Job Details
We are looking for an experienced Data Scientist to support the Platform product area at Slack. The Platform ecosystem is a critical component of Slack’s strategy to become the place where work happens. It enables users to truly customize Slack and integrate their everyday tools to streamline and speed up work!

Pursuant to the San Francisco Fair Chance Ordinance and the Los Angeles Fair Chance Initiative for Hiring, Salesforce will consider for employment qualified applicants with arrest and conviction records.
As a federal contractor, Salesforce is required to verify that all US-based employees are fully vaccinated against COVID-19. If you receive an offer and are unable to get vaccinated for religious or medical reasons, you may request a reasonable accommodation.",4.5,Salesforce,10000+ Employees,1999,Company - Public,Enterprise Software & Network Solutions,Information Technology,$10+ billion (USD),Remote,Remote,23,0,0,0,0,0,0,974,data scientist,na
160,Data Science Advisor (Express Scripts) - Evernorth,127.7,"SUMMARY
The Service Operations Analytics & Reporting organization supports the data and analytical needs of Evernorth Service Operations. As a center of excellence for best practices in Data Platforms, Web Platforms, Data Science, Advanced Analytics, and Business Intelligence, the team brings together data from contact centers, print and digital communications, eligibility, client benefit setup, coverage review and beyond in novel ways to provide actionable insights to business partners from front-line Prior Authorization Representatives and Patient Care Advocates to Senior Leadership across Evernorth, Express Scripts, and Cigna. By turning data into information, and information into insight, we passionately strive to make the operational services provided by Evernorth to patients, clients, and prescribers the safest, most efficient, most convenient, and most trusted in the world.
This position will partner with operations, resource management, and IT teams in the visioning and design of machine learning and statistical models to drive differentiated service, operational efficiency, and a positive member experience. The Data Science Advisor will work to realize these solutions through data acquisition across a wide portfolio of source systems, data preparation, data visualization, and statistical analysis providing information that is both relevant and actionable. In addition, the position will support existing reports and tools, answer ad hoc inquiries as needed.
This position is with Evernorth, a new business within the Cigna Corporation
REQUIREMENTS

Locate, extract, manipulate, and organize data from operational source systems in support of analytic tool development (SQL, Microsoft SSIS, Python)

Partner with varying levels of operations and resource management leadership to understand challenges, goals, and pain points, designing analytic solutions to address them

Produce models and analytics with Python using widely available and homegrown libraries Enhance/troubleshoot existing reports, tools, and data feeds to support evolving business needs

Develop data visualizations that present information to operations and resource management personnel that is both relevant and actionable (Tableau, Thoughtspot, Power BI)

Produce models and analytics with Python using widely available and homegrown libraries Enhance/troubleshoot existing reports, tools, and data feeds to support evolving business needs

Present results and/or recommendations to key business stakeholders up to and including Sr. Staff

Design, build, deploy, and tune analytic algorithms

Flexibly support ad hoc reporting/analytics needs when called upon
QUALIFICATIONS

3+ years' of experience and proven track record of developing analytical solutions from a data science perspective

Ability to combine creativity with analytical, technical, and business acumen to problem solve and extrapolate data into information to drive process improvements

Experience with SQL, Python & Tableau required

Understanding and experience with leading supervised and unsupervised machine learning methods such as Multiple and Logistic Regression and Natural Language Processing

Proven ability to collaborate with others, establish working relationships, and communicate effectively with a variety of stakeholders

Comfortable working in environments with varying levels of ambiguity, complexity, uncertainty, and change and turning high-level ideas into concrete action plan and provide solution designs
This role is WAH/Flex which allows most work to be performed at home. Employees must be fully vaccinated if they choose to come onsite.

For this position, we anticipate offering an annual salary of $95,800 - $159,600, depending on relevant factors, including experience and geographic location.
This role is also anticipated to be eligible to participate in an annual bonus plan.
Helping our customers achieve healthier, more secure lives is at the heart of what we do. While you take care of our customers, we’ll take care of you through a comprehensive benefits program that helps you be at your best. Starting on day one of your employment, you’ll be offered several health-related benefits including medical, vision, dental, and best in class well-being and behavioral health programs. We also offer 401(k) with company match, company paid life insurance, tuition reimbursement, a minimum of 18 days of paid time off per year and dozens of corporate discounts on essentials you use every day. For more details on our employee benefits programs, please visit the “Life at Cigna” tab on our careersite: www.cigna.com/careers
About Cigna
Cigna Corporation exists to improve lives. We are a global health service company dedicated to improving the health, well-being and peace of mind of those we serve. Together, with colleagues around the world, we aspire to transform health services, making them more affordable and accessible to millions. Through our unmatched expertise, bold action, fresh ideas and an unwavering commitment to patient-centered care, we are a force of health services innovation. When you work with us, or one of our subsidiaries, you’ll enjoy meaningful career experiences that enrich people’s lives. What difference will you make?
Qualified applicants will be considered without regard to race, color, age, disability, sex, childbirth (including pregnancy) or related medical conditions including but not limited to lactation, sexual orientation, gender identity or expression, veteran or military status, religion, national origin, ancestry, marital or familial status, genetic information, status with regard to public assistance, citizenship status or any other characteristic protected by applicable equal employment opportunity laws.
If you require reasonable accommodation in completing the online application process, please email: SeeYourself@cigna.com for support. Do not email SeeYourself@cigna.com for an update on your application or to provide your resume as you will not receive a response.",3.8,Cigna,10000+ Employees,1865,Company - Public,Insurance Carriers,Insurance,$10+ billion (USD),Saint Louis, MO,157,1,1,1,1,1,1,6033,data scientist,na
161,"Data Scientist, Marketing Analytics",120.445,"Are you interested in working for a Fortune 100 retailer? Do you want to be able to apply your analytical knowledge and experience to help solve constantly changing business and customer facing opportunities?

As a Data Scientist on the Business Analytics Team, you will support Marketing Measurement, identify buying behaviors and lifestyle characteristics of customers, measure the statistically significant purchasing behavior change at the product and customer segment level, develop sales forecasting methodologies, conduct A/B tests, and work with large cloud based datasets.

Additional responsibilities include:
providing research-based consultation and recommendations regarding the personalization of customer interfaces with Publix
developing and implementing scalable Data Science Analytical Solutions that rely on machine learning and artificial intelligence to automate and optimize key business processes and help improve efficiency and financial results",3.8,Publix,10000+ Employees,1930,Company - Private,Grocery Stores & Supermarkets,Retail,$10+ billion (USD),Lakeland, FL,92,0,0,0,0,0,0,969,data scientist,na
162,Lead Data Scientist,133.311,"Job Title:
Lead Data Scientist, Mobile Product
Requisition ID:
R013080
Job Description:
Your Mission is:
We are looking for a talented Lead Data Scientist to join our Mobile Analytics team. The team’s goal is to put science into product decisions and help to make a better game for both players and the company. You will be the technical leader for the product data science discipline, with the opportunity to take on a managerial role. First year responsibilities include:",3.3,Activision,1001 to 5000 Employees,1979,Subsidiary or Business Segment,Video Games,Media,$500 million to $1 billion (USD),Santa Monica, CA,43,0,0,0,0,0,0,473,data scientist,senior
164,"Lead Data Scientist, Marketing Analytics",125.496,"Data, Research & Insights
Data Science
Spotify is looking for an extraordinary candidate to join the Marketing and Consumer Insights (MCI) team to support Spotify’s Marketing organization in their pursuit of building a globally loved brand and bringing the next generation of fans to Spotify.
Location
New York or Remote Americas
Job type
Permanent
The primary duties of this role will be to lead the Marketing Analytics team that provides analytical support for our global Freemium Marketing team, leading the measurement and evaluation of our marketing activities to drive greater understanding on our ability to impact brand health and ensure we continuously improve the effectiveness of our marketing investments.",4.2,Spotify,5001 to 10000 Employees,2006,Company - Public,Internet,Information Technology,Unknown / Non-Applicable,New York, NY,16,0,0,0,0,0,0,717,data scientist,senior
165,"Data Scientist, Basketball Integrity",91.252,"At the NBA, we’re passionate about growing and celebrating the game of basketball. Through the intensity of the game and the amazing athletic skill of our players, we deliver excitement to hundreds of millions of fans around the world.

As a global sports and media business, the NBA is so much more. While Basketball Operations runs the league’s on-court activities, other departments manage relationships with television and digital media partners, develop marketing partnerships with some of the world’s most recognizable companies, oversee the licensing of NBA merchandise, and handle a wide range of responsibilities that drive the NBA’s success.

The NBA is committed to providing a safe and healthy workplace. To safeguard our employees and their families, our visitors, and the broader community from COVID-19, and in consideration of recommendations from health authorities and the NBA’s own advisors, any individual working onsite in our New York and New Jersey offices must be fully vaccinated against COVID-19. The NBA will discuss accommodations for individuals who cannot be vaccinated due to a medical reason or sincerely held religious belief, practice, or observance.",3.9,the NBA,1001 to 5000 Employees,1946,Company - Private,Sports & Recreation,"Arts, Entertainment & Recreation",Unknown / Non-Applicable,New York, NY,76,0,0,0,0,0,0,1184,data scientist,na
166,VP - Data Scientist,116.904,"VP - Data Scientist
Job Number:
3204780
POSTING DATE: Mar 11, 2022
PRIMARY LOCATION: Americas-United States of America-Georgia-Alpharetta
EDUCATION LEVEL: Bachelor's Degree
JOB: Risk Management
EMPLOYMENT TYPE: Full Time
JOB LEVEL: Vice President
DESCRIPTION",4.0,Morgan Stanley,10000+ Employees,1935,Company - Public,Investment Banking & Asset Management,Finance,$10+ billion (USD),Alpharetta, GA,87,0,0,0,0,0,0,258,data scientist,na
168,"Data Scientist, Product Intelligence",144.42,"Work Styles at Zoom
In most cases, you will have the opportunity to choose your preferred working location from the following options when you join Zoom: in-person, hybrid or remote. Visit this page for more information about
Zoom's Workstyles
.
Data Scientist, Product Intelligence
FULL TIME/ REMOTE - US
The Data Team at Zoom brings data closer to the decision. We know that to deliver customer happiness we need to build best in class products. We support this by empowering Product with behavioral insights to help them build better products. While providing these insights, we also need to ensure that we’re meeting the consent, privacy, and regulatory needs of hundreds of millions of users worldwide.
This role will be part of the Product Intelligence team and will be working closely with the Contact Center product team. Unlike most contact center technologies that are only optimized for voice, Zoom Contact Center is the first omnichannel contact center solution that is optimized for video and intentionally supports a robust suite of channels, such as voice and video (with SMS and web chat). This role will work closely with Product, Engineering and the Data Engineering team to help ensure the success of the product. The ideal candidate will have experience partnering with Product to define success metrics and define data requirements to ensure we are set up for success when the product or feature launches. The individual will play a key role in providing insights around product usage beyond just the “What?” but to answer the “Why?” behind user behavior. Our team values diversity, collaboration, creativity and most importantly - having fun! Come join us!
$97,920.00 USD
$181,170.00 USD
#LI-Remote",4.4,"Zoom Video Communications, Inc.",1001 to 5000 Employees,2011,Company - Public,IT Services,Information Technology,$2 to $5 billion (USD),San Francisco, CA,11,0,0,0,0,0,0,1720,data scientist,na
169,"Data Scientist, Marketing Science Research: Creative Shop",114.33,"The Marketing Science Research, Creative Shop team is a quantitative research group focused on measuring the value and effectiveness of creative in advertising. The team designs and conducts research studies and leverages and develops new data sources to understand how people respond to creative content on digital platforms. The results are used to guide internal teams and are published as guidance and thought-leadership for the global advertising industry. This team helps develop world-class marketing strategies for both the world's largest advertisers and the millions of small businesses that use our platforms. In this role, you will pair your analytical skills with Meta’s unique data set to understand the role of creative in advertising. We seek an expert in data science, research methods, and developing working systems to support research. The ideal candidate will have a strong knowledge of statistical methods and machine learning, is focused on results, is self-motivated, and has a history of solving problems with data-driven solutions. You will work closely with our global Creative Strategists to inform scalable strategies for creative development that achieve our clients’ business objectives. You will partner with teams in all major global markets, working to develop region-specific understanding when required. You’re a doer, who loves to ship ideas that will impact businesses of all shapes and sizes on Facebook, Instagram, Messenger, and WhatsApp.
















Facebook is proud to be an Equal Opportunity and Affirmative Action employer. We do not discriminate based upon race, religion, color, national origin, sex (including pregnancy, childbirth, or related medical conditions), sexual orientation, gender, gender identity, gender expression, transgender status, sexual stereotypes, age, status as a protected veteran, status as an individual with a disability, or other applicable legally protected characteristics. We also consider qualified applicants with criminal histories, consistent with applicable federal, state and local law.Facebook is committed to providing reasonable accommodations for candidates with disabilities in our recruiting process. If you need any assistance or accommodations due to a disability, please let us know at accommodations-ext@fb.com.",4.3,Meta,10000+ Employees,2004,Company - Public,Internet,Information Technology,$10+ billion (USD),San Francisco, CA,18,0,0,0,0,0,0,2310,data scientist,na
170,Senior Data Scientist (remote),156.8,"At Liberty Mutual, our purpose is to help people embrace today and confidently pursue tomorrow. That's why we provide an environment focused on openness, inclusion, trust and respect. Here, you'll discover our expansive range of roles, and a workplace where we aim to help turn your passion into a rewarding profession.
Liberty Mutual has proudly been recognized as a “Great Place to Work” by Great Place to Work® US for the past several years. We were also selected as one of the “100 Best Places to Work in IT” on IDG's Insider Pro and Computerworld's 2020 list. For many years running, we have been named by Forbes as one of America's Best Employers for Women and one of America's Best Employers for New Graduates—as well as one of America's Best Employers for Diversity. To learn more about our commitment to diversity and inclusion please visit: https://jobs.libertymutualgroup.com/diversity-inclusion
We value your hard work, integrity and commitment to make things better, and we put people first by offering you benefits that support your life and well-being. To learn more about our benefit offerings please visit: https://LMI.co/Benefits
Liberty Mutual is an equal opportunity employer. We will not tolerate discrimination on the basis of race, color, national origin, sex, sexual orientation, gender identity, religion, age, disability, veteran's status, pregnancy, genetic information or on any basis prohibited by federal, state or local law.

18",3.9,Liberty Mutual Insurance,10000+ Employees,1912,Company - Private,Insurance Carriers,Insurance,$10+ billion (USD),Remote,Remote,110,0,0,0,0,0,0,1459,data scientist,senior
171,"Senior Data Scientist - Analytics, FinCrimes",130.758,"Join a leading fintech company that's democratizing finance for all.
Robinhood was founded on a simple idea: that our financial markets should be accessible to all. With customers at the heart of our decisions, Robinhood is lowering barriers and providing greater access to financial information. Together, we are building products and services that help create a financial system everyone can participate in.
Just as we focus on our customers, we also strive to create an inclusive environment where our employees can thrive and do impactful work. We are proud of the competitive products and company culture we've built and have been recognized as:
Forbes Fintech 50 2021
Glassdoor Best Places to Work 2021",4.0,Robinhood,1001 to 5000 Employees,2013,Company - Public,Brokerage Services,Finance,Unknown / Non-Applicable,Menlo Park, CA,9,0,0,0,0,0,0,708,data scientist,senior
